Text,Type
นี่ล่ะตร.บ้านเราเก่งนักล่ะ มีความชำนาญพิเศษกับคดีแบบนี้แหละ จับไพ่เอย จับหมวกเอย จับใบขับขี่ เราอยู่ในประเทศที่มีแนวคิดที่จะอยู่ร่วมกับยาบ้า เราอยู่ในประเทศที่รณรงค์ให้คนไทยเลิกบุหรี่อย่างจริงจัง ถึงกับเอาภาษีเราไปถลุงเล่นโดยการตั้งหน่วยงานลดล่ะเลิก(ซึ่งแม่งไม่เคยได้สัมผัสกำคุณประโยชน์ของหน่วยงานนี้เลย) แต่มาโอดโอยว่ายอดขายยาสูบตก โรงงานยาสูบจะอยู่ไม่ได้ แล้วที่ไร้ศักดิ์ศรีสุดคือ บุหรี่ไทยสู้เพื่อนไม่ได้ แล้ว ไปขอร้องบุหรี่นอกให้ปรับเพดานขั้นต่ำ แทนที่จะปรับภาษีปรับราคาบุหรี่ไทย เป็นไงล่ะ..?โดนตอกหน้าหงายด้วยวลีที่ว่า เราก็แข่งขันในเพดานภาษีเดียวกับคุณ ทำการตลาดภายใต้ภาษีเดียวกัน คุณจะมางอแงขอให้เราเปลี่ยนแผนการตลาดได้ไง เป็นการบริหารที่โคตรโง่..!!! หมายถึงประเทศ ซิดนี่..!!! จริง ๆ,Neg
อยากไปพรมแดงshow dcจริงๆนะ คือนี่มันเข้าช่วงเก็บใบเสร็จแล้ว แต่เวลางานยังไม่แจ้ง งงมาก,Neg
น้ำซุปต้มยำ ต้องเพิ่มมันกุ้งไหม เด็กสูง 108 เสียเงินมั่ย,Neg
วิ่งสักพักมันก้อขึ้นคะ. เราก้อเป็นเรียกเด็กปั้มมาดู มันบอกเติมแล้วน่ะ เรายืนเถียงกับมันตั้งนาน. มันก้อยื่นใบเสร้จให้. เราขี้เกียจเถียงเลยขับรถออกไป สักพักเก น้ำมันค่อยๆ ขึ้น. แต่ขึ้นช้ามาก. แต่ก้อขึ้นน่ะ. สรุปเราเนี้ยแหละ ผิดที่ไปโวยวาย อายเลยกุ. ปล. รถเราก้อวีออสเหมือนกัน.เติมไป 300 เท่ากัน เติมเบนซิล 95,Neg
วันนี้มีโอกาสได้ฟังการปราศรัยของพ่อรู้สึกชอบที่พ่อปราศรัย มันให้อารมณ์แบบนั่งคุยกันสบายๆ ให้ใช้ความคิดและการตัดสินใจของตัวเองในการเลือก แต่แอบมีหยอดว่าเลือกอนาคตใหม่ก็จะดี 😂😂😂 #ฟ้ารักพ่อ,Pos
เมื่อก่อนมีซื้อกลับบ้านเลย แต่ทำไมเดี่ยวนี้ไม่หอมๆแบบมะก่อน,Neg
ได้ๆ,Pos
The toys the parkinson เป้ &ปีศาจแบนด์ ชอบความละมุนของเพลงงง แค่คิดภาพไปเจอกับความละมุนนั้นกับเบียร์ช้างก็ฟินแล้วววววว,Pos
กลับกันเลยค่ะ เรากินสิงห์ได้ เเต่กินเนสเล่ไม่ได้ ไม่ชอบ มันจางๆจืดๆ กินเเล้วเหมือนไม่ได้กิน 5555,Neg
ลูกค้าเก่าทรูไฟเบอร์ ณ วันนี้ ก็ไม่เคยมีการอัพเกรดให้ลูกค้าเก่าเลย ออกโปรใหม่ๆ เพื่อลูกค้าใหม่อย่างเดียวหรอครับ,Neg
ช่วยๆกันครับ ผมเป็นอีก1กำลังเล็กๆ ทำไม่ได้ยากอะไร เพื่อความถูกต้องครับ,Pos
OKทุกอย่างแต่คืองงไม่มี กุ้งสด ถ้ามีจะดีเลย,Neg
ที่สุดเลย..เหมือน มาสด้า ที่สุด,Pos
ตัวนี้ไม่ขายในไทยนะครับ อยากได้สั่งนำเข้า ผมก็ใช้โฟกัส 2012 ใช้มา5ปี เจอหลายปัญหา แต่ตอนนี้ขายทิ้งแล้วครับ ไปใช้ EV แทน ไม่เข็ดครับ ชอบฟอร์ด ขับมันดี,Neg
อยากปรึกษาปัญหาที่เกิดในการซื้ออาคารชุดจากเจ้าหน้าที่ของแสนสิริ ต้องติดต่อช่องทางใดคะ/ขออภัยที่ถามช่องทางนี้ บังเอิญเปิดทวิตเตอร์ เจอบัญชีของท่าน promoted ค่ะ,Neg
Honda city v+ สนใจ,Pos
มันจะเงียบไม่เงียบ แต่กลุ่มคนทำเค้าก็ไม่ได้อยู่เฉยๆนะครับ จะปล่อยให้มันผ่านๆไป ให้โดนจับกนอย่างงี้หรอ ไม่ช่วยก็เงียบๆเลยครับ คนทำเค้าเสียกำลังใจ สู้เพื่อสิ่งที่ถูก เค้าทำเพื่อทุกคนที่ต้องการเลิกบุหรี่ ทำทุกอย่างที่ทำได้ ดีกว่าไม่ทำอะไรเลย,Neg
เศร้า เป็นคนที่ใช้คีลไม่ได้ แพ้ทุกตัว ใช้ละสิวมาเลยอย่างเร็ว งงหนังหน้าตัวเอง,Neg
=+1 ไม่อร่อยแห้งๆ ข้าวไม่หอมเนย ราคาก็แพงมากกก,Neg
อั๋น ใช้รีโว่ครับ,Pos
"“MF Race Academy” โครงการดีๆโดย BMW MF Motorrad พบกัน 8 พฤษภาคมนี้ ไทยแลนด์ เซอร์กิต, นครัชยศรี #ชีวิตนักแข่งเริ่มต้นที่นี่",Pos
"โฆษณาอีซูสุอันใหม่ในโรงหนังมีความแซะตัวเองนะ ""ความพอเพียงไม่จำเป็นต้องอยู่แต่ในไร่ในนา"" 5555",Neg
หูยยยย,Pos
สภาพในรูป ให้เราไปจ่ายตลาดมาทำให้เต็มที่ ไม่เกิน150บาทค่ะ น่าเกลียดเกิ๊นน ไอ้ส่งเรื่องๆปรับปรุง เขาก็ตอบไปแบบนั้นแหละค่ะ เคยเป็นแอดมินเพจเหมือนกัน555 เอมเค สภาพนี้มาแต่ไหนแต่ไรแล้วหลังๆ,Neg
ปะกินกัน,Pos
วันนี้​ไปกินถามว่าอร่อยครับแต่บางพนักงาน​ก้ไม่ค่อยใส่ใจเท่าไร​ ผมค้องการพริกกับกะเทียมเพิ่มไปวางข้างเยือกโค๊กผมนึกว่าพนักงานจะรุ้แต่ป่าวเลยเดินไปเดินมสไม่สนใจจนผมต้องเปิดฝาก้ยังเดินผ่านไปผ่านทำไมสนใจเหมือนเดิมจ่ายเงินเสดให้เบิลมาดรอกข้อมูล​พนักงานมสยืนจ้อง​ข้างคือเขาจะให้เขียนพนักไม่สนใจดูแลลูกค้าคนก้ไม่ได้เยอะแยะ​อะไรทำไมต้องยืนจ้องขนาดนั้น,Neg
แดกช้างเสร็จมาต่อด้วยรี อ้วกมั้ยให้ทาบ,Neg
แค่กินbreezerหัวยังตึ้บๆเลย กูเป็นขนาดนี้แล้วหรอ,Neg
คันเก่าผมISUZUดีแม็ก ออกจาก0โหลดนิดหน่อย ท่อเดิมๆล้อเดิม ลองยาวนิดๆยังด้าย190กว่าเลยไม่ต้องทำไรเลย เครื่อง2500ด้วย,Pos
รำคาญผ้าอนามัย เมื่อไหร่กาวจะแน่นเหมือนกาวดักหนู,Neg
ลองดูไหมมึง555,Pos
รู้สึกว่าที่บ้านพลาดมากๆไม่น่ารีบออกpcxกับmazda2เลยอะตัวปีนี้สวยกว่าเยอะ😭,Neg
ตกวดตัวเหี้ยตำรวจดีๆก็มีเยอะนะแต่ไม่ค่อยเจอๆแต่เหี้ยๆ,Neg
อ่าวว เธอใช้ดีแทคด้วยนี่ ดีเลย 😄,Pos
ภายใน Toyota สวย,Pos
ถ้ามีรถไฟฟ้าไปถึงเราก็ไปปป แต่นี่คือไปยากอะ,Neg
นายมันไม่บุฟเฟ่จะแดกพอหรอม,Neg
ชอบ mg3 ครับ,Pos
จริงๆก็มีขยะบ้าง แต่เล็กน้อย อย่างเช่น ขวด เดือนหนึ่งก็ประมาน 4 ขวด (แต่ขวดนำไปรีไซเคิลได้) กับเศษสำลีแค่เล็กน้อย😉😉😉,Neg
แสงไหนก็ไม่ดีต่อใจเท่าแสงโสม🤝,Neg
ทำไงดี ไดอารี่ สีชมพู ซื้อไม่เป็น,Pos
ถ้าเผ็นผมนะจะอัดวีดิโอให้ด้วย...อยากจะรู้ว่าจะพูดว่างัยแล้วทางตำตรวจจะจัดการยังงัย,Neg
นิสสัน อัลเมล่า ถายในกว้างใหญ่ นั่งสบายภายนอกสวยงาม ราคาไม่แพงประหยัดน้ำมันสุดๆ,Pos
ไม่ต้องซื้อมันละ Honda Civic พร้อมปรับแต่งเครื่องเสียง (555) นั่ง Taxi นี่ละ มีคนขับให้พร้อม,Neg
กินๆ,Pos
วันนี้ไปกินเอมเคละแบบพนงที่เปนเด่กมัดยมแบบบริการไม่ดีมากๆๆๆๆๆๆแต่กุก้ทำรัยมั่ยดั้ย,Neg
นิสสันจะเปลี่ยนโฉมทุก 100ปี ถถถ,Neg
ถ้าพูดถึงราคา และคุณภาพก็ต้องนี่เลย Honda Brio ถึงตัวเล็กแต่ใจใหญ่เด้อออ ไปไหนไปกัน ไปเหนือล่องใต้ก็ไปมาแล้ว เริ่ดสุดตรงประหยัดน้ำมันนี่แหละ อยากมอบมงให้รถตัวเอง ดีไซน์กระทัดรัดแต่โฉบเฉี่ยว ใครจอดตรงไหนไม่ได้ บริโอ้ชั้นจอดได้ย่ะ 55555 ขอบคุณฮอนด้าที่ทำให้เราพบกัน อัง สาแม,Pos
อยากกินเซ็ทนี้คะ,Pos
ตนเรามันก็บ้าๆตามกระแส...เหมือนน้ำมันหมูละครับ...ถ้าผมเหม็นกลิ่นผัดกะเพราที่ทำขายตามร้านข้างทาง...มันทำไห้ผมจามหายใจขัด...แล้วจะทำยังไงดีครับ... ( ไม่ต้องมีเมนุนี้กันเลยหรือครับ...ทั้งๆที่ก็ชอบกิน...555 ผิดถูกยังไงก็ขออภัยด้วยนะครับ...ความคิดเห็นส่วนตัวนะครับ ),Neg
ก็คือคืนนี้นอนคอนโดเพราะใกล้สนามบินและปัญหาเดิมตอนนี้คือนอนไม่หลับ เสียงเครื่องบินดัง,Neg
ทำไมเล่น E-cig รอบนี้เหมือนปอดจะพัง ไอไม่หยุดเลย,Neg
แดกเบียร์บนยอดเขา เสียใจหาซื้อเบียร์ช้างไม่ได้ 555,Neg
ถึงจุดๆนั้น จะรุ้เองคับว่า เราจะพุดอะไรไม่ได้เลย จะไม่สามารถต่อรองหรือสู้อะไรได้เลย #ประสบการตรงกับตัวย้ำว่ากับตัว ใช้มา 2 ปียังไม่เคยโดนคับ มาแจคพอต แค่ ตัวทำมือ ถ่านก้อนเดียว อตอม ug โคลนเก่าๆเลย สุดท้ายรอขึ้นศาล ทิ้งของที่บ้านหมดเลยคับ 6 พันกว่าบาท,Neg
พักพร้อม​วันไหน.. จัดเลย,Pos
ไปเหอะ,Pos
ไม่ชอบกินลีโอแต่กินหมดกระป๋องก่อนใคร55555555,Neg
"เอาสั้นๆเลย เบียร์ช้าง ""เป็นทุกอย่าง"" สำหรับพวกเรา และเราก็จะไปฟังเพลง เป็นทุกอย่าง ของ room39 ในงานครับ",Pos
ป่ะ มื้อเที่ยงงงง,Pos
จะกินได้เน มะพร้าวด้วย,Pos
ปกติกินแต่ smirnoff breezer อ่ะ spy นี่ไม่ค่อยกินละหลังๆ full moon ยิ่งไม่ค่อยกิน,Neg
เห็นมั้ยป๊า กรุงศรีมันสำคัญ,Pos
อะ น้ำตาจะไหล กูต้องซื้อ breezer ภายในวันนี่หรอ,Neg
พาแม่ไปกินกัน,Pos
ขอบพระคุณมากๆที่ชื่นชอบการบริการของน้องๆก้อนน๊าคร้าบบ😊,Pos
ตกลงมึงจะเอายังไงจะให้กูดูดแต่บุหรี่มวนใช้มั้ยมึงไม่ให้กูมีทางเลือกเลยหรอ..เซ็งผลประโยชน์ล้วน😩😩,Neg
ป้ะไปเลย,Pos
สั่งดับเบิ้ลชีสเบอเกอร์มากินเพราะคิดว่าจะได้เนื้อ2ชิ้น อิเวง ละจะไม่เจ็บใจเลยถ้าบิ๊กแมคไม่ได้ราคาเท่ากันแต่ได้เนื้อ2ชิ้นและขนมปัง3แผ่น สึส!,Neg
จะได้ลงตารางกะมั้ยล่ะ,Pos
โตโยต้า วิส เท่าไรคับ,Pos
Noๆ,Neg
มี2คันครับ พาลูกไปเที่ยว สบาย นั่งสบาย อีกที เอาแจสไปปากช่อง พ่อเอ้ยแม่เอ้ย เสียงโหยหวนดังมาก แผงข้างประตูเหมือนจะหลุด ลูกอ้วกตลอดทางตอนขึ้นเขา ว่าเทรินเป็นchr ซีวิคก็เคยใช้แปปนึง นั่งข้างหลัง แข็งชิปเป๋ง นั่งไม่สบาย เวลาถนนไม่เรียบ,Neg
แม่งราคาเท่า ฮอนด้าแจ๊ส เลย,Neg
ถ้าน้ำเดียวได้หรือป่าวราคานี้อ่ะค่ะ,Pos
วันไหนดีๆ,Pos
ไปกันๆๆคร้าฟพี่ๆๆ,Pos
ติดต่อก็ยาก ทั้งเซลล์ ทั้งคอลล์เซ็นเตอร์ รับเรื่องแล้วไม่ติดต่อกลับหาลูกค้า,Neg
เราแพ้ผ้าอนามัยแบบเย็นอะ ใส่แค่ 10 กว่านาทีก็แสบแล้ว มันไม่รู้สึกเย็นอะ มันแสบและคันมาก ใส่ครั้งเดียวพอเลย 😢😢😢,Neg
เมื่อวานไม่เห็นมีโปร กินเสร็จมีโปรเฉย,Neg
ในเชิงบริหารผมว่าพรรคนั้นไม่ควรขึ้นไปนั่งนะ ดูแล้วไม่น่ารอด แต่ควรเอาดีทางด้านส่งเสริมกิจกรรมมากกว่า ถ้าบริหารต้องเลือกอีกพรรคนึงที่ชื่อ*แบะๆ*ถึงจะโอเค,Neg
Ford Ranger Wildtrak X ตัวท็อปแต่งเข้ม สเต็ปแต่งสไตล์ผู้ดีอังกฤษ ที่คนไทยได้แต่มอง,Pos
หนูจะกินนน,Pos
พี่ยุ้ยทำไมมากินช้างตอนนี้! ทีตอนน้องไปกินลีโออ่ะ น้องแพ้ น้องไม่ชอบ5555555,Neg
เช่าชุดแพงกว่าส่วนลดอีกนะ55555,Neg
ทำไมสาขาโลตัสพิษณุโลกไม่เข้าร่วมโปร 299 อะคะ เมื่อวานไปกิน 5 คน ราคา 379 เสียใจ แต่ก็กิน,Neg
ถ้าใส่แล้วเอาออกไม่ได้ทำไงอะ ไม่รู้ความลึกความตื้นอีก 55555 ใส่ผ้าอนามัยเหทือนเดิมดีกว่า,Neg
เน็ตหัวควยมากครับ น้องฟ้า,Neg
ไม่กินตอนเย็นครับ,Neg
เห็นข่าวไข่พยาธิบาบีก้อนทีไร ขนลุกทุกทีเลยฮือ...,Neg
อีกเสียง ข้าวกะเทียมไม่หร่อย ตอนแรก นึกว่าเปนเฉพาะบางสาขา,Neg
มาสด้าก็ลอกหน้าตาเจ้าอื่นมาอีกที55555,Neg
อยู่ในเมือง เดินทางสะดวก มีรถประจำทางผ่านตลอด,Pos
ดูแล้ว สุพรีมมี จัดไปปปปป,Pos
เปลี่ยนจากยาสูบ ทำน้ำยาขายไม่ดีกว่าหราาา,Neg
เจ้ๆ เห็นว่าใช้กานิเย่ #กระเป๋าสวยดี 😂😂,Pos
รถโรงงานนิสสันออกแล้ว ซวยมากกกก 5555555555,Neg
ต้องจัดวันเกิดน้องๆสักหน่อยล่ะ,Pos
ว้าวๆๆๆ,Pos
สงสัยต้องถ่ายรูปลงโซเชียล,Neg
ทำไมมีแต่คนชอบ เคลนซิ่งของกานิเย่ สูตร Oil infused นะ เราใช้แล้วแสบ แต่สีชมพูกับฟ้า micella water คือผ่านนนน ดี,Neg
ชุดไหนดี เพื่อนบ้านในอณาคตสนใจม้ายยยย,Pos
ป่ะะ,Pos
แพ้ผ้าอนามัยมีผื่นขึ้น,Neg
ถึง29เดือนนี้เองนะ,Pos
หลังสอบบ,Pos
จัดดดดดไป,Pos
น่าอร่อย,Pos
กินทุกวันจนท้องเสียก็เพราะช้างนี่แหละ,Neg
กุกลับ25ทันอยู่ๆไปป่าว,Pos
#ชาบู #ช้างคลาสสิค,Pos
เบียร์ลีโอจาก55พี่แก่ปรับให้110บาทจร้า เป็นห่วงคนไทย,Neg
เหล้าขาวยัง277บาทเลย..เรดนี่แม่งคงปาเข้าไป3พันกว่าล่ะมั้ง555..มั่วมากๆ.,Neg
ไปกินลีโอสด บ่ 555,Pos
การ์นิเย่คือดีสำหรับคนหน้าขาวอยู่แล้วเท่านั้น เพราะถ้ามึงหน้าดำแล้วทา หน้าจะกลายเป็นหน้าเทาทันที,Neg
บุ๋มชอบของการ์นิเย่สีเหลืองค่ะ เช็ดสะอาดดี ผิวไม่แห้ง แต่กลิ่นน้ำหอมแรงไปนิสจ้า,Neg
แสดงสด มหาหิงค์ งานลีโอเบียร์ concert มันส์ๆเบสหนักๆ,Neg
อะไรจะกว้างขวางซะขนาดนี้ ยกให้เป็นรถครอบครัว และรถนั่งเที่ยวเลยจ้า MGZS หนึ่งในรถที่หลาย ๆ คนอยากเป็นเจ้าของ,Pos
เคยจับฉลากแล้วได้ผ้าอนามัย คือดีใจมากหกกกก ดีใจที่สุดที่เคยจับฉลากมา เพื่อนคู่คิดมิตรคู่จิ๋ม ไอเลิฟ,Pos
ไปกัน เรามันสาวกพี่ก้อนนน,Pos
พน เลย,Pos
ชอบ toyotabuzz จัดกิจกรรมตลอด คืนกำไรให้กับลูกค้า,Pos
พร้อมเสมอออ อิ๊อิ๊,Pos
แชทร้านมีแต่อินนิสฟรี โอยย เคลียร์ให้กูหน่อยเถอะเพื่อน หาออเดอร์ของต้องส่งไม่เจอเลย,Neg
ดีนะกินข้าวเสดแล้วถึงเหนรูปบาบีคิวพลาซ่า อห จะอ้วก ขนลุกทั้งตัว,Neg
5555 กินอย่างอื่นฟ่า รอบหน้า,Neg
"รถถังหนักมากขนาดนี้ไม่กลัววันนึงจะโดนธรณีสูบหรอคะ นี่ยังไม่บวกน้ำหนักเรือดำน้ำ,อาวุธกับนาฬิกาของท่านรองเลยนะคะ #หนักแผ่นดิน",Neg
วันไหนดีคับ,Pos
มื้อได??,Pos
"vios 2003 ไมล์ 450,000+ อย่างทน ตอนนี้มี gk อีก 2คันเสียวๆเรื่องเกียร์มาก",Pos
แสงโสมออกไปจากร่างแล้ว กูอ้วก .. จ้า จ้าาาาาาาาา,Neg
กุแดกละกลับมาแดกลีโออร่อยกว่า555,Pos
นายเลี้ยง55,Pos
อิห่ากูก็นึกว่าเป็นติ่งพระเจ้าเหา อันนี่ขึ้นเลย ตีนกากูเนี่ย,Neg
กินหม้อเอ็มเคติดจมูกสัด,Neg
วันนี้ที่ได้สีไม่ใช่แบบนี้อ่ะก้อน,Neg
กลิ่นน้ำยาปรับผ้านุ่มแรงจนกลบกลิ่นโจมาโลนหมดเลย;_; เปลี่ยนร้านซักเลยนิ,Neg
วันก่อนไปกินบาบีกอน บทจะหยุดหยุดเลย เพลีย,Neg
Friendships everywhere! มิตรภาพ หน้าปากกระบอกปืน เป้ายิง..ทหารไทยและทหารสหรัฐอเมริกา ฝึกทักษะพลแม่นปืน (Basic rifle skills and markmanship) เพื่อแลกเปลี่ยนเทคนิคในการใช้อาวุธแต่ละชนิด เพื่อความแม่นยำต่อเป้าหมายในสภาวะที่มีลมและแสงแดดเป็นอุปสรรค,Pos
ผ้าอนามัยแม่งเย็นมาก เย็นจนออกร้อน อ่าาาาาห์ กลัวฮีเป็นไข้จัง ไม่รู้จะทำตัวยังไง,Neg
จัดส่งของได้ห่วยมาก,Neg
เลื่อนจนประยุทธตายพรรคมึงก็ไม่ชนะอยู่ดี อีควาย ไปตาย #เลื่อนแม่มึงสิ,Neg
ขอบอกว่า อย่าซื้อเลยมาสด้า อะ รถอะดี แต่ศูนย์อะไม่ไหวเลย ตอนซื้อ เราซื้อมาสด้า 2 ปี 60 เจอเซลล์เอาแต่จะขาย บอกจะให้ฟิมล์ เซรามิกบ้างละ แถมนู่นนี่นั่นของแท้ พอไปเช็คเข้าจริงๆ ของปลอม ต้องเมล์ไปหา ที่ศูนย์ใหญ่ ถึงจะยอมเปลี่ยนให้ นี่พอจะเคลมประกัน โทรไปศูนย์บอกให้เอารถเข้าไป วันที่ 21 กพ 61 นัดรับรถ 17 มีค61 พอวันที่ 16 เราโทรไป เขาโทรกลับมาบอกว่า ยังไม่เสร็จ รอประกันอนุมัติอะไหล่อีกตัว เราเลยบอกว่า ทำไมไม่โทรมาแจ้ง ขะได้เร่งประกันให้ คนไม่มีรถใช้นะ พอดีติดเสาร์อาทิตย์ วันจันทร์เราเลยรีบโทรไปแจ้งประกันให้เร่ง ประกันโทรไปที่ศูนย์ บอก รถเราถูกส่งไปที่ศูนย์อีกที่ซ่อม วันที่ 9 มีค 61 เราถึงกับอึ้งว่า แล้วเอารถไปดองว่ทำไม ถ้าไม่มีคิวซ่อม พอวันนี้ 13 มีค เราโทรไปตาม โทรกลับมาบอกว่า รถจะเสร็จวันที่ 25 มีค เพราะว่ายังไม่ไ้ซ่อมอะไรเลย คือ ใช่ไหมอะ นี่เราต้องรอ เกินเดือนเหรอ เราเห็นเพื่อนซื้อรถตลาด เขาประตูยับทั้งบาน เปลี่ยนภายใน 3 วัน....รถมาสด้าอะดี แต่ศูนย์อะ คิดดีๆ นะ,Neg
ติดต่อแล้วค่ะ แจ้งว่าต้องรอ รอ และรอ ไม่มีกำหนดชัดเจน เพราะเป็น minor change ไม่รู้จะเข้าเมื่อไหร่ และ delay อีกนานแค่ไหน,Neg
ใช้รถนิสสันยุค่ะชื้อมานานแล้วไม่เคยมีปัญหารถเขาดีจริงค่ะ,Pos
เทออออออออออออออออออออออออออ,Pos
วันนี้มากินเอ็มเคค่ะ ฟาดเรียบข้าวโพด 8 อัน 555,Pos
อยากกินบาบีกอนจัง,Pos
"มาปลุกสัญชาตญาณของสิ่งมีชีวิต ทั้งระบบนิเวศน์ในป่า.........ตี้! กับ ""ปรากฏการณ์จันทร์เต็มดวงใหม่"" ครั้งนี้ ที่ร้านโกดัง9 พะเยา ร่วมค้นหาไปพร้อมกันกับ T Bone วันที่ 22 ธันวาคมนี้ #เสือ #เหยื่อ #กระต่าย #นก #ชะนี #SangSomNorthmoonป่าตี้ #redefinefullmoon #นกไม่นกรู้กัน #จะเสือหรือจะเหยื่อก็ว่ามา #โกดัง9",Pos
อันนี้เมาหงส์ทองละ 5555,Neg
ป่ะคุณสา,Pos
ไฮเนเก้นเลิกกินไปนานแล้วครับ คิดถึงkroster,Neg
สรุปวันนั้นมันสีส้มหรือสีแดงว้ะไม่เมานะแค่สปายไม่กี่ขวดเองอห.มืดเกินไปรึเปล่า,Neg
มัลตี้มี mamonde no.11 ฮือออออ เอาไงซื้อไม่ซื้อ290,Neg
พาไปกินมั่งสิ อยากกินแต่ไม่มีตังค์ 🤑,Pos
สวัสดีครับ อยากทราบว่าเเอคคอร์ดเเละคัมรี่จะมาทันภายในปีนี้มั้ยครับ ขอบคุณครับ,Pos
#รีวิวฮอกไกโด บุฟเฟ่ต์ปิ้งย่างไม่อั้น1.30ชม เราเลือกแบบ5200¥ คุ้มมาก มีซูชิ เนื้อวากิว เนื้อออส หมู แกะ ซุป เครื่องเคียง พนักงานบริการดี แนะนำให้จองคิวก่อนนะ,Pos
ซีคอนมันปิดปรับปรุงอ่าาาา,Neg
ไฮเนเก้น ชิวๆ,Pos
ณ. เวลานี้ ทฤษฎีต่างๆมันช่าง ตีกันมะลุงตุงนัง คักกว่า..เบียร์ลีโอ..มื้อคืนนี้อีก 😭 — รู้สึกเพลีย,Neg
อยากกินบาร์บิกอนเลย,Pos
อีแอร์เอเชียอีคนหลอกลวง,Neg
จอง,Pos
น้องผู้ชายแก๊งที่หามเพื่อนที่เมาขึ้นรถไฟฟ้าตรงบีทีเอสราชเทวีก็คือดีมาก ตอนที่น้องนั่งลงมัดเชือกรองเท้าให้เพื่อน พี่นี่อุดปากกรี๊ดแทบไม่ทัน น่ารักมาเลยลูกเอ้ยยยย 🌚🌝,Pos
ขอบคุณน้องหมิวมากๆเลยนะคะ 🙏🙏💗💗,Pos
ติดตามมาตั้งแต่อยู่เวปเก่า และซื้อรถคันนี้ คันแรก ก็จากรีวิวในเวปเก่า ออกรถวันที่ 21 กพ 2009 ก่อนเปิดเวปไม่กี่วัน ตามไปค้นอ่านรีวิวในเวปต้องห้ามอีกหลายรุ่น จนมาสร้างเวปเอง สมัครสมาชิกเป็นรุ่นแรกๆ มีโอกาสเจอตัวเป็นๆ ตอนพี่จิมไปเทสรถ ออลนิว ดีแมก รุ่นปี 2012 ที่ปาย ได้พาไปทานข้าว ได้ปรึกษาเรื่องรถอยู่หลายครั้งมาก จนตอนนี้ซื้อรถเพิ่ม เปลี่ยนรถใหม่มา 3-4 คัน ก็อ้างอิงข้อมูงจากในเวปนี้เป็นหลัก ผมประทับใจ และจะขอติดตามเวปตลอดไปครับ,Pos
จะกินนน,Pos
รีโว่ เนี่ยนะหล่อ 😆😆😆😆😆,Neg
งงกับคนที่เทียบกับประเทศญี่ปุ่น รายได้เฉลี่ยประชากรเค้าเท่าไหร่ ค่าครองชีพเค้าเท่าไหร่ ประเด็นคือ ของที่เค้าขายในสนามบินราคาเท่ากับของที่ขายข้างนอก เท่ากันเลย ทั้งสนามบินนาริตะ โอซาก้า ไม่ได้อยู่ที่แพงไม่แพง ยกตัวอย่าง ไก่ทอดคาราอาเกะ 7-11 ข้างนอก 114¥ ข้างในสนามบินก็ 114¥ โค้ก น้ำดื่ม ทุกอย่างเท่าๆกัน แมคก็เท่ากัน ราเมงก็เท่ากัน แต่ในไทยคือบวกๆ ลองไปซื้อน้ำมะนาว Auntie Anne ที่ดอนเมืองสิ ข้างนอกสนามบินแก้วละ 45 ในสนามบิน 105,Neg
ดูน่าสนุกดี แต่ก็ไม่กินไฮเนเก้น55,Neg
ผ้าอนามัยแบบสอดใส่ยากจังวะ กว่าจะหารูเจอ เอ๊ะ!,Neg
เห็นโพสต์บาบีก้อน ช็อคค่ะ ช็อคแรง มันคือแฟมโซน ชอบมาแต่เราคงต้องห่างกันสักพักใหญ่นะก้อน....//อวสาน,Neg
ยามเย็นริมโขง หนองคายนั่งจิบน้ำปั่นกับอากาศสบายๆ😋,Pos
ทำไมต้องมีโปรเดือนนี้ 🤣,Neg
